#
#   d_openFoam
#   Author: Saang Bum Kim, sbkim1601@gmail.com
#   Date  : 2017-08-25T16:55:40+09:00
#

Angle of attack: -6
Block ID: 0, R1 = 44.008714, R2 = 43.099670, R3 = 42.604859, R4 = 44.005581
Block ID: 59, R1 = 0.231776, R2 = 1.244690, R3 = 1.244058, R4 = 1.062141
Block ID: 60, R1 = 1.156813, R2 = 1.474661, R3 = 1.113015, R4 = 1.424291
Block ID: 61, R1 = 1.356817, R2 = 1.357621, R3 = 1.302815, R4 = 1.294972
Block ID: 62, R1 = 17.714064, R2 = 17.714064, R3 = 18.953992, R4 = 18.953992
Block ID: 63, R1 = 141.380979, R2 = 141.259843, R3 = 158.870334, R4 = 158.870334
Block ID: 64, R1 = 44.127021, R2 = 44.146031, R3 = 1219.639413, R4 = 1219.639413
Block ID: 65, R1 = 6.564842, R2 = 6.564842, R3 = 34.144954, R4 = 34.144954
Block ID: 66, R1 = 17.714064, R2 = 17.714064, R3 = 219.891637, R4 = 219.891637
Block ID: 67, R1 = 141.284517, R2 = 141.266851, R3 = 10820.726074, R4 = 10820.726074
Block ID: 68, R1 = 43.909489, R2 = 44.838716, R3 = 44.938151, R4 = 44.938151
Block ID: 69, R1 = 6.564842, R2 = 6.564842, R3 = 6.572065, R4 = 6.572065
Block ID: 70, R1 = 6.567999, R2 = 6.564842, R3 = 6.572065, R4 = 6.379005
Block ID: 71, R1 = 6.567999, R2 = 6.564842, R3 = 6.379005, R4 = 6.572065
Block ID: 72, R1 = 17.714064, R2 = 17.714064, R3 = 17.744655, R4 = 17.744655
Block ID: 73, R1 = 141.269319, R2 = 140.403594, R3 = 141.704221, R4 = 141.704221
Block ID: 74, R1 = 44.838716, R2 = 43.725276, R3 = 44.835092, R4 = 43.464395
Block ID: 75, R1 = 6.564842, R2 = 6.564842, R3 = 6.511707, R4 = 6.564442
Block ID: 76, R1 = 6.564842, R2 = 6.564842, R3 = 6.513249, R4 = 6.565139
Block ID: 77, R1 = 6.564842, R2 = 6.564842, R3 = 6.513891, R4 = 6.564950
Block ID: 78, R1 = 17.714064, R2 = 17.714064, R3 = 17.111278, R4 = 17.713197
Block ID: 79, R1 = 140.423235, R2 = 141.188315, R3 = 141.192585, R4 = 130.139593
